name,path,versionBucket,kind,extension,size,sizeLabel,importCandidate,status,localPath,rawUrl,githubUrl,featureTags
OPTIONS.FRM,25-30/decom/evictionmm/OPTIONS.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,5978,5.8 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/OPTIONS.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/OPTIONS.FRM,all-in-one/prog suite
OPTIONS.FRX,25-30/decom/evictionmm/OPTIONS.FRX,AOL 2.5-3.0,Visual Basic project file,.frx,8666,8.5 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/OPTIONS.FRX,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/OPTIONS.FRX,all-in-one/prog suite
SELECTED.FRM,25-30/decom/evictionmm/SELECTED.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,10718,10 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/SELECTED.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/SELECTED.FRM,all-in-one/prog suite
SELECTED.FRX,25-30/decom/evictionmm/SELECTED.FRX,AOL 2.5-3.0,Visual Basic project file,.frx,312350,305 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/SELECTED.FRX,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/SELECTED.FRX,all-in-one/prog suite
STATUS.FRM,25-30/decom/evictionmm/STATUS.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,30340,30 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/STATUS.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/STATUS.FRM,all-in-one/prog suite
STATUS.FRX,25-30/decom/evictionmm/STATUS.FRX,AOL 2.5-3.0,Visual Basic project file,.frx,189250,185 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/STATUS.FRX,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/STATUS.FRX,all-in-one/prog suite
THREED.VBX,25-30/decom/evictionmm/THREED.VBX,AOL 2.5-3.0,runtime/control file,.vbx,64432,63 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/THREED.VBX,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/THREED.VBX,all-in-one/prog suite
VBMSG.VBX,25-30/decom/evictionmm/VBMSG.VBX,AOL 2.5-3.0,runtime/control file,.vbx,24528,24 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/VBMSG.VBX,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/VBMSG.VBX,all-in-one/prog suite
AWAY.BAS,25-30/decom/exetos/AWAY.BAS,AOL 2.5-3.0,Visual Basic module,.bas,1230,1.2 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/AWAY.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/AWAY.BAS,source/tutorial; all-in-one/prog suite
AWAY.FRM,25-30/decom/exetos/AWAY.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,6340,6.2 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/AWAY.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/AWAY.FRM,all-in-one/prog suite
BUST.BAS,25-30/decom/exetos/BUST.BAS,AOL 2.5-3.0,Visual Basic module,.bas,4106,4.0 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/BUST.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/BUST.BAS,source/tutorial; all-in-one/prog suite
BUST.FRM,25-30/decom/exetos/BUST.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,9054,8.8 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/BUST.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/BUST.FRM,all-in-one/prog suite
CHATVIA.BAS,25-30/decom/exetos/CHATVIA.BAS,AOL 2.5-3.0,Visual Basic module,.bas,6885,6.7 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/CHATVIA.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/CHATVIA.BAS,room/chat; source/tutorial; all-in-one/prog suite
CHATVIA.FRM,25-30/decom/exetos/CHATVIA.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,13763,13 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/CHATVIA.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/CHATVIA.FRM,room/chat; all-in-one/prog suite
DFX.htm,25-30/decom/exetos/DFX.htm,AOL 2.5-3.0,text/readme file,.htm,3820,3.7 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/DFX.htm,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/DFX.htm,all-in-one/prog suite
EMAIL.BAS,25-30/decom/exetos/EMAIL.BAS,AOL 2.5-3.0,Visual Basic module,.bas,10145,9.9 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/EMAIL.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/EMAIL.BAS,mass mailer/server; source/tutorial; all-in-one/prog suite
EMAIL.FRM,25-30/decom/exetos/EMAIL.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,17498,17 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/EMAIL.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/EMAIL.FRM,mass mailer/server; all-in-one/prog suite
ESP.BAS,25-30/decom/exetos/ESP.BAS,AOL 2.5-3.0,Visual Basic module,.bas,11212,11 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/ESP.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/ESP.BAS,source/tutorial; all-in-one/prog suite
ESP.FRM,25-30/decom/exetos/ESP.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,22531,22 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/ESP.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/ESP.FRM,all-in-one/prog suite
EXEC.BAS,25-30/decom/exetos/EXEC.BAS,AOL 2.5-3.0,Visual Basic module,.bas,115352,113 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/EXEC.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/EXEC.BAS,source/tutorial; all-in-one/prog suite
EXEC.FRM,25-30/decom/exetos/EXEC.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,143667,140 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/EXEC.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/EXEC.FRM,all-in-one/prog suite
ICAIZIT.BAS,25-30/decom/exetos/ICAIZIT.BAS,AOL 2.5-3.0,Visual Basic module,.bas,669,669 B,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/ICAIZIT.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/ICAIZIT.BAS,source/tutorial; all-in-one/prog suite
ICAIZIT.FRM,25-30/decom/exetos/ICAIZIT.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,3220,3.1 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/ICAIZIT.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/ICAIZIT.FRM,all-in-one/prog suite
ICEGRT.BAS,25-30/decom/exetos/ICEGRT.BAS,AOL 2.5-3.0,Visual Basic module,.bas,17311,17 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/ICEGRT.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/ICEGRT.BAS,source/tutorial; all-in-one/prog suite
ICEGRT.FRM,25-30/decom/exetos/ICEGRT.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,21461,21 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/ICEGRT.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/ICEGRT.FRM,all-in-one/prog suite
MEABOUT.BAS,25-30/decom/exetos/MEABOUT.BAS,AOL 2.5-3.0,Visual Basic module,.bas,351,351 B,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/MEABOUT.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/MEABOUT.BAS,source/tutorial; all-in-one/prog suite
MEABOUT.FRM,25-30/decom/exetos/MEABOUT.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,3864,3.8 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/MEABOUT.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/MEABOUT.FRM,all-in-one/prog suite
MODULE1.BAS,25-30/decom/exetos/MODULE1.BAS,AOL 2.5-3.0,Visual Basic module,.bas,48364,47 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/MODULE1.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/MODULE1.BAS,source/tutorial; all-in-one/prog suite
PICINT.BAS,25-30/decom/exetos/PICINT.BAS,AOL 2.5-3.0,Visual Basic module,.bas,118,118 B,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/PICINT.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/PICINT.BAS,source/tutorial; all-in-one/prog suite
PICINT.FRM,25-30/decom/exetos/PICINT.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,1128,1.1 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/PICINT.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/PICINT.FRM,all-in-one/prog suite
PW.BAS,25-30/decom/exetos/PW.BAS,AOL 2.5-3.0,Visual Basic module,.bas,652,652 B,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/PW.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/PW.BAS,source/tutorial; all-in-one/prog suite
PW.FRM,25-30/decom/exetos/PW.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,3163,3.1 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/exetos/PW.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/exetos/PW.FRM,all-in-one/prog suite
ADDROOM.BAS,25-30/decom/fateu9/ADDROOM.BAS,AOL 2.5-3.0,Visual Basic module,.bas,1975,1.9 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/ADDROOM.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/ADDROOM.BAS,room/chat; source/tutorial; all-in-one/prog suite
ADDROOM.FRM,25-30/decom/fateu9/ADDROOM.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,3031,3.0 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/ADDROOM.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/ADDROOM.FRM,room/chat; all-in-one/prog suite
AFK.BAS,25-30/decom/fateu9/AFK.BAS,AOL 2.5-3.0,Visual Basic module,.bas,3068,3.0 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/AFK.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/AFK.BAS,source/tutorial; all-in-one/prog suite
AFK.FRM,25-30/decom/fateu9/AFK.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,4738,4.6 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/AFK.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/AFK.FRM,all-in-one/prog suite
ATTENTIO.BAS,25-30/decom/fateu9/ATTENTIO.BAS,AOL 2.5-3.0,Visual Basic module,.bas,1485,1.5 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/ATTENTIO.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/ATTENTIO.BAS,source/tutorial; all-in-one/prog suite
ATTENTIO.FRM,25-30/decom/fateu9/ATTENTIO.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,2140,2.1 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/ATTENTIO.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/ATTENTIO.FRM,all-in-one/prog suite
BUSTER.BAS,25-30/decom/fateu9/BUSTER.BAS,AOL 2.5-3.0,Visual Basic module,.bas,18079,18 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/BUSTER.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/BUSTER.BAS,source/tutorial; all-in-one/prog suite
BUSTER.FRM,25-30/decom/fateu9/BUSTER.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,18389,18 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/BUSTER.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/BUSTER.FRM,all-in-one/prog suite
COLORS.BAS,25-30/decom/fateu9/COLORS.BAS,AOL 2.5-3.0,Visual Basic module,.bas,3281,3.2 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/COLORS.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/COLORS.BAS,source/tutorial; all-in-one/prog suite
COLORS.FRM,25-30/decom/fateu9/COLORS.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,4251,4.2 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/COLORS.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/COLORS.FRM,all-in-one/prog suite
COUNTMM.BAS,25-30/decom/fateu9/COUNTMM.BAS,AOL 2.5-3.0,Visual Basic module,.bas,753,753 B,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/COUNTMM.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/COUNTMM.BAS,source/tutorial; all-in-one/prog suite
COUNTMM.FRM,25-30/decom/fateu9/COUNTMM.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,1648,1.6 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/COUNTMM.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/COUNTMM.FRM,all-in-one/prog suite
CREDITS.BAS,25-30/decom/fateu9/CREDITS.BAS,AOL 2.5-3.0,Visual Basic module,.bas,1398,1.4 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/fateu9/CREDITS.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/fateu9/CREDITS.BAS,source/tutorial; all-in-one/prog suite
